Resume,Category
"intern Web Developer with experience in HTML, JavaScript, CSS, backend, MySQL based in Galle Sri Lanka",Web Developer
"mid-level Data Scientist with experience in TensorFlow, machine learning, pandas, Python, statistics based in Kandy Sri Lanka",Data Scientist
"mid-level DevOps Engineer with experience in CI/CD, Jenkins, Linux, AWS, automation based in Colombo Sri Lanka",DevOps Engineer
"intern DevOps Engineer with experience in cloud, Terraform, Jenkins, Linux, automation based in Sri Lanka Sri Lanka",DevOps Engineer
"mid-level Database Administrator with experience in SQL, backup, Oracle, database design, MySQL based in Galle Sri Lanka",Database Administrator
"junior Java Developer with experience in Maven, SQL, microservices, REST API, Java based in Sri Lanka Sri Lanka",Java Developer
"mid-level Cybersecurity Analyst with experience in threat analysis, penetration testing, ethical hacking, incident response, SIEM based in Sri Lanka Sri Lanka",Cybersecurity Analyst
"mid-level Software Engineer with experience in APIs, C#, testing, software development, debugging based in Sri Lanka Sri Lanka",Software Engineer
"mid-level Mobile Developer with experience in Kotlin, mobile apps, Java, Flutter, React Native based in Sri Lanka Sri Lanka",Mobile Developer
"mid-level Software Engineer with experience in APIs, testing, SQL Server, debugging, software development based in Sri Lanka Sri Lanka",Software Engineer
"mid-level DevOps Engineer with experience in Kubernetes, automation, Docker, Linux, AWS based in Galle Sri Lanka",DevOps Engineer
"mid-level Business Analyst with experience in UML, requirements gathering, Agile, stakeholder analysis, Scrum based in Sri Lanka Sri Lanka",Business Analyst
"mid-level Database Administrator with experience in MySQL, database design, performance tuning, Oracle, backup based in Colombo Sri Lanka",Database Administrator
"intern DevOps Engineer with experience in automation, Terraform, AWS, CI/CD, Jenkins based in Galle Sri Lanka",DevOps Engineer
"junior Java Developer with experience in Hibernate, SQL, Maven, Spring Boot, OOP based in Colombo Sri Lanka",Java Developer
"intern Data Scientist with experience in TensorFlow, SQL, data visualization, pandas, data analysis based in Colombo Sri Lanka",Data Scientist
"mid-level Software Engineer with experience in SQL Server, debugging, C#, APIs, software development based in Negombo Sri Lanka",Software Engineer
"junior Data Scientist with experience in Python, data analysis, SQL, data visualization, machine learning based in Galle Sri Lanka",Data Scientist
"mid-level Database Administrator with experience in performance tuning, database design, MySQL, Oracle, recovery based in Sri Lanka Sri Lanka",Database Administrator
"intern Database Administrator with experience in recovery, backup, SQL, performance tuning, database design based in Negombo Sri Lanka",Database Administrator
"mid-level Web Developer with experience in MySQL, Laravel, frontend, JavaScript, React based in Galle Sri Lanka",Web Developer
"junior DevOps Engineer with experience in Terraform, Jenkins, Docker, Kubernetes, AWS based in Sri Lanka Sri Lanka",DevOps Engineer
"mid-level DevOps Engineer with experience in Kubernetes, cloud, Jenkins, Docker, automation based in Colombo Sri Lanka",DevOps Engineer
"mid-level DevOps Engineer with experience in cloud, AWS, Docker, automation, Jenkins based in Sri Lanka Sri Lanka",DevOps Engineer
"senior Data Scientist with experience in TensorFlow, machine learning, Python, data visualization, SQL based in Negombo Sri Lanka",Data Scientist
"senior Database Administrator with experience in Oracle, performance tuning, database design, SQL, MySQL based in Sri Lanka Sri Lanka",Database Administrator
"senior Mobile Developer with experience in Flutter, Kotlin, React Native, Android, UI/UX based in Negombo Sri Lanka",Mobile Developer
"junior Data Scientist with experience in machine learning, statistics, SQL, TensorFlow, data visualization based in Galle Sri Lanka",Data Scientist
"senior DevOps Engineer with experience in Linux, CI/CD, Kubernetes, Jenkins, Terraform based in Colombo Sri Lanka",DevOps Engineer
"senior Database Administrator with experience in database design, backup, SQL, performance tuning, MySQL based in Negombo Sri Lanka",Database Administrator
"mid-level Cybersecurity Analyst with experience in network security, threat analysis, SIEM, incident response, ethical hacking based in Sri Lanka Sri Lanka",Cybersecurity Analyst
"junior Mobile Developer with experience in UI/UX, Flutter, Java, Android, mobile apps based in Colombo Sri Lanka",Mobile Developer
"junior Data Scientist with experience in statistics, data visualization, data analysis, machine learning, TensorFlow based in Colombo Sri Lanka",Data Scientist
"mid-level Cybersecurity Analyst with experience in SIEM, network security, threat analysis, incident response, ethical hacking based in Negombo Sri Lanka",Cybersecurity Analyst
"mid-level Java Developer with experience in Hibernate, Java, microservices, SQL, Spring Boot based in Galle Sri Lanka",Java Developer
"junior Business Analyst with experience in requirements gathering, documentation, Agile, Scrum, stakeholder analysis based in Colombo Sri Lanka",Business Analyst
"intern Web Developer with experience in Laravel, JavaScript, Node.js, backend, CSS based in Kandy Sri Lanka",Web Developer
"junior DevOps Engineer with experience in Jenkins, automation, cloud, Terraform, Linux based in Galle Sri Lanka",DevOps Engineer
"junior Database Administrator with experience in database design, performance tuning, MySQL, recovery, backup based in Colombo Sri Lanka",Database Administrator
"junior Software Engineer with experience in ASP.NET, software development, C#, .NET, SQL Server based in Kandy Sri Lanka",Software Engineer
"mid-level Business Analyst with experience in UML, requirements gathering, documentation, Scrum, stakeholder analysis based in Sri Lanka Sri Lanka",Business Analyst
"senior DevOps Engineer with experience in cloud, Jenkins, Kubernetes, Terraform, Docker based in Negombo Sri Lanka",DevOps Engineer
"intern Database Administrator with experience in performance tuning, MySQL, Oracle, SQL, backup based in Galle Sri Lanka",Database Administrator
"senior Database Administrator with experience in performance tuning, SQL, MySQL, database design, backup based in Sri Lanka Sri Lanka",Database Administrator
"mid-level Web Developer with experience in frontend, Laravel, Node.js, backend, PHP based in Kandy Sri Lanka",Web Developer
"junior Data Scientist with experience in data visualization, statistics, TensorFlow, SQL, pandas based in Sri Lanka Sri Lanka",Data Scientist
"senior Web Developer with experience in PHP, MySQL, JavaScript, backend, HTML based in Galle Sri Lanka",Web Developer
"mid-level Database Administrator with experience in SQL, Oracle, MySQL, recovery, database design based in Galle Sri Lanka",Database Administrator
"junior Web Developer with experience in React, CSS, JavaScript, MySQL, HTML based in Galle Sri Lanka",Web Developer
"intern Java Developer with experience in SQL, Spring Boot, REST API, OOP, Java based in Colombo Sri Lanka",Java Developer
"mid-level Data Scientist with experience in data analysis, statistics, Python, pandas, TensorFlow based in Negombo Sri Lanka",Data Scientist
"mid-level DevOps Engineer with experience in Jenkins, Linux, Docker, cloud, CI/CD based in Kandy Sri Lanka",DevOps Engineer
"mid-level DevOps Engineer with experience in cloud, Terraform, Jenkins, Docker, Linux based in Colombo Sri Lanka",DevOps Engineer
"mid-level DevOps Engineer with experience in Linux, Jenkins, automation, AWS, CI/CD based in Kandy Sri Lanka",DevOps Engineer
"junior Web Developer with experience in JavaScript, React, MySQL, HTML, Node.js based in Galle Sri Lanka",Web Developer
"junior Mobile Developer with experience in mobile apps, Java, UI/UX, React Native, Flutter based in Sri Lanka Sri Lanka",Mobile Developer
"mid-level Business Analyst with experience in documentation, Scrum, UML, requirements gathering, Agile based in Negombo Sri Lanka",Business Analyst
"senior Web Developer with experience in CSS, MySQL, Node.js, PHP, backend based in Sri Lanka Sri Lanka",Web Developer
